  	Pos 	Name 	Country 	Category 	Time 	CP1 Altnafeadh 	CP2 Stob Dearg Summit 	CP3 Buachaille Etive Mor Col 	CP4 Lairig Gartain River Crossing 	CP5 Lairig Eilde Path Junction 	CP6 Lairig Eilde Cairn 	CP7 Bidean Nam Bian 	CP8 Stob Coire nan Lochan 	CP9 Bidean Nam Bian 	CP10 Loch Achtrichian Car Park 	CP11 Sgorr nam Fiammaidh 	CP12 Am Bodach 	CP13 Sron a' Choire Odhair-bhig 	CP14 Devils Staircase connection 	CP15 Altnafeadh 	Finish - Glencoe Mountain Resort
Details 	1st 	Joe Symonds 	GBR 	M 	07:36:21 	00:28:53 	01:10:41 	01:33:51 	01:45:54 	02:16:28 	02:35:51 	03:25:06 	03:35:39 	03:46:45 	04:22:28 	05:13:48 	06:01:58 	06:36:52 	06:50:21 	07:00:30 	07:36:21
Details 	2nd 	Emelie ForsbergTwitterInstagram 	SWE 	F 	07:44:19 	00:28:52 	01:13:46 	01:37:16 	01:48:54 	02:20:20 	02:40:21 	03:36:56 	03:47:48 	03:59:20 	04:30:29 	05:25:36 	06:12:08 	06:44:41 	06:58:27 	07:06:38 	07:44:19
Details 	3rd 	Mark Harris 	GBR 	MV45 	07:44:51 	00:29:03 	01:13:49 	01:37:18 	01:49:36 	02:20:10 	02:40:11 	03:35:28 	03:47:18 	03:59:13 	04:33:50 	05:26:34 	06:16:41 	06:47:47 	06:59:53 	07:07:43 	07:44:51
Details 	4th 	Jayson Cavill 	GBR 	M 	07:49:42 	00:28:54 	01:14:23 	01:37:59 	01:49:40 	02:20:24 	02:40:13 	03:35:31 	03:47:09 	03:59:15 	04:30:53 	05:26:39 	06:17:32 	06:47:39 	06:59:56 	07:07:53 	07:49:42
Details 	5th 	Jasmin ParisFacebook 	GBR 	F 	07:54:29 	00:29:04 	01:13:55 	01:37:26 	01:48:53 	02:20:21 	02:41:03 	03:38:20 	03:49:29 	04:01:51 	04:37:21 	05:33:24 	06:19:08 	06:49:46 	07:02:48 	07:12:03 	07:54:29
Details 	6th 	Tim Gomersall 	GBR 	M 	07:55:09 	00:28:55 	01:10:35 	01:33:44 	01:45:56 	02:16:30 	02:37:01 	03:35:54 	03:48:12 	04:01:39 	04:35:00 	05:33:28 	06:19:20 	06:49:52 	07:03:22 	07:12:18 	07:55:09
Details 	7th 	Neal Crampton 	GBR 	M 	08:02:09 	00:29:09 	01:14:38 	01:39:47 	01:53:10 	02:27:17 	02:49:37 	03:45:19 	03:56:07 	04:07:28 	04:41:09 	05:36:18 	06:24:44 	06:56:55 	07:11:12 	07:20:22 	08:02:09
Details 	8th 	Esmond Tresidder 	GBR 	M 	08:05:12 	00:28:55 	01:10:42 	01:33:36 	01:45:55 	02:16:28 	02:36:58 	03:30:32 	03:41:26 	03:53:31 	04:29:37 	05:24:58 	06:16:43 	06:51:18 	07:08:16 	07:19:55 	08:05:12
Details 	9th 	Andrew Barrington 	GBR 	M 	08:21:21 	00:30:37 	01:16:59 	01:42:44 	01:56:35 	02:30:28 	02:50:51 	03:45:16 	03:56:04 	04:07:26 	04:42:21 	05:43:15 	06:49:13 	07:21:59 	07:34:28 	07:42:43 	08:21:21
Details 	10th 	Adam Harris 	GBR 	M 	08:22:55 	00:28:58 	01:11:39 	01:34:09 	01:45:13 	02:16:57 	02:38:14 	03:36:20 	03:47:36 	03:59:17 	04:30:52 	05:34:22 	06:34:47 	07:11:18 	07:27:01 	07:38:03 	08:22:55
Details 	11th 	Jon Ascroft 	GBR 	M 	08:23:26 	00:29:05 	01:14:15 	01:38:14 	01:50:25 	02:23:15 	02:43:29 	03:44:24 	03:56:43 	04:10:10 	04:47:41 	05:46:41 	06:42:16 	07:18:18 	07:32:57 	07:41:54 	08:23:26
Details 	12th 	Jim Mann 	GBR 	M 	08:26:24 	00:28:44 	01:16:15 	01:43:03 	01:59:18 	02:41:52 	03:06:44 	04:09:46 	04:21:01 	04:32:39 	05:11:45 	06:03:55 	06:59:46 	07:28:40 	07:41:26 	07:50:38 	08:26:24
Details 	13th 	Johannes Felter 	GBR 	M 	08:33:10 	00:30:44 	01:16:50 	01:42:49 	01:56:39 	02:30:06 	02:52:08 	03:54:13 	04:06:03 	04:20:12 	05:00:22 	06:04:54 	06:53:19 	07:27:18 	07:39:52 	07:48:44 	08:33:10
Details 	14th 	Steve FranklinTwitterInstagram 	GBR 	M 	08:40:10 	00:30:25 	01:18:05 	01:43:48 	01:56:43 	02:30:09 	02:51:40 	03:50:39 	04:03:01 	04:16:18 	04:56:31 	05:59:54 	06:53:23 	07:28:42 	07:42:55 	07:53:06 	08:40:10
Details 	15th 	Richard Mellon 	GBR 	M 	08:41:36 	00:30:24 	01:18:57 	01:45:25 	01:59:15 	02:34:37 	02:56:36 	03:56:49 	04:09:22 	04:22:59 	05:03:34 	06:04:59 	06:59:38 	07:35:45 	07:49:42 	07:59:54 	08:41:36
Details 	16th 	Michael Tweedley 	GBR 	M 	08:42:34 	00:28:59 	01:13:46 	01:37:41 	01:50:12 	02:23:08 	02:43:30 	03:50:14 	04:02:47 	04:16:55 	04:57:01 	06:02:49 	06:55:03 	07:31:23 	07:47:57 	07:59:09 	08:42:34
Details 	17th 	Florian Reichert 	DEU 	M 	08:45:36 	00:28:59 	01:14:45 	01:38:50 	01:52:16 	02:24:02 	02:42:50 	03:38:52 	03:51:06 	04:03:26 	04:43:58 	05:44:47 	06:49:28 	07:30:52 	07:53:39 	08:06:36 	08:45:36
Details 	18th 	John Helme 	GBR 	M 	08:58:04 	00:30:49 	01:17:05 	01:41:18 	01:52:56 	02:27:05 	02:48:56 	03:52:26 	04:05:03 	04:19:08 	04:55:33 	06:07:44 	07:03:48 	07:42:00 	07:57:31 	08:07:40 	08:58:04
Details 	19th 	Andy BryceFacebookStrava 	GBR 	M 	08:58:25 	00:31:59 	01:20:56 	01:48:25 	02:05:04 	02:39:59 	03:01:52 	04:04:06 	04:16:46 	04:29:45 	05:17:05 	06:15:22 	07:13:48 	07:52:51 	08:08:12 	08:18:58 	08:58:25
Details 	20th 	Michael Robinson 	GBR 	MV45 	09:00:12 	00:31:50 	01:23:12 	01:51:15 	02:07:02 	02:43:58 	03:06:43 	04:07:59 	04:21:26 	04:35:05 	05:20:47 	06:20:54 	07:15:09 	07:51:00 	08:06:27 	08:16:49 	09:00:12
Details 	21st 	Jon Gay 	GBR 	M 	09:02:39 	00:30:52 	01:20:18 	01:44:38 	01:56:18 	02:29:32 	02:53:21 	03:59:23 	04:11:44 	04:26:05 	05:04:08 	06:11:50 	07:18:09 	07:53:20 	08:07:05 	08:15:38 	09:02:39
Details 	22nd 	Will MannersFacebook 	GBR 	MV45 	09:07:01 	00:34:40 	01:27:55 	01:57:25 	02:13:45 	02:52:41 	03:17:59 	04:21:09 	04:34:00 	04:47:47 	05:30:15 	06:30:47 	07:23:12 	08:00:21 	08:15:27 	08:25:14 	09:07:01
Details 	23rd 	Scott ForbesTwitter 	GBR 	M 	09:07:49 	00:29:02 	01:17:08 	01:43:34 	01:58:20 	02:33:23 	02:55:31 	03:58:38 	04:11:48 	04:25:38 	05:08:30 	06:11:57 	07:21:25 	07:58:51 	08:15:46 	08:26:51 	09:07:49
Details 	24th 	Neil MacNicolFacebookTwitterStrava 	GBR 	M 	09:11:14 	00:29:11 	01:18:23 	01:44:17 	01:57:15 	02:32:31 	02:55:37 	04:04:01 	04:18:03 	04:33:43 	05:16:36 	06:22:23 	07:30:26 	08:06:13 	08:19:59 	08:30:04 	09:11:14
Details 	25th 	Dave Wilby 	GBR 	M 	09:11:52 	00:30:55 	01:23:18 	01:50:27 	02:06:22 	02:39:56 	03:01:59 	04:01:55 	04:14:29 	04:28:53 	05:13:47 	06:10:27 	07:15:51 	07:55:20 	08:11:24 	08:24:36 	09:11:52
Details 	26th= 	Chanon Romain 	FRA 	M 	09:12:22 	00:31:14 	01:22:32 	01:48:59 	02:02:46 	02:39:42 	03:02:52 	04:11:37 	04:25:19 	04:39:41 	05:21:00 	06:26:25 	07:23:50 	08:01:10 	08:16:17 	08:26:26 	09:12:22
