  	Pos 	No. 	Name 	Team 	Category 	Last Location 	Time Taken 	CP1 	CP2 	CP3 	CP4 	CP5 	CP6 	CP7 	CP8 	CP9 	CP10 	CP11 	CP12 	CP13 	CP14 	CP15 	Finish - Kinlochleven
Details 	1st 	3 	Jonathan AlbonStrava 	British 	M 	Finish - Kinlochleven 	06:33:52 	00:48:43 	01:28:05 	01:47:23 	01:57:07 	02:23:46 	02:40:30 	03:13:42 	03:29:10 	03:38:40 	03:49:17 	04:16:26 	04:56:37 	05:31:57 	05:56:59 	06:09:10 	06:33:52
Details 	2nd 	199 	Tom Owens 	British 	M 	Finish - Kinlochleven 	06:37:21 	00:48:34 	01:26:54 	01:46:29 	01:56:02 	02:22:50 	02:40:12 	03:13:51 	03:29:09 	03:38:39 	03:49:14 	04:16:11 	04:58:45 	05:36:14 	06:02:26 	06:13:30 	06:37:21
Details 	3rd 	142 	Marc LauensteinFacebookAttackpoint 	Swiss 	M 	Finish - Kinlochleven 	06:54:37 	00:48:33 	01:27:43 	01:46:32 	01:56:45 	02:23:29 	02:42:03 	03:14:00 	03:29:17 	03:38:41 	03:49:12 	04:16:10 	04:58:03 	05:43:07 	06:11:42 	06:25:14 	06:54:37
Details 	4th 	291 	Finlay Wild 	British 	M 	Finish - Kinlochleven 	07:00:57 	00:48:45 	01:27:14 	01:46:58 	01:56:49 	02:23:33 	02:42:18 	03:14:22 	03:30:32 	03:40:16 	03:51:05 	04:20:22 	05:08:04 	05:51:57 	06:21:36 	06:35:35 	07:00:57
Details 	5th 	283 	Greg Vollet 	French 	M 	Finish - Kinlochleven 	07:10:19 	00:48:44 	01:28:00 	01:47:08 	01:56:25 	02:23:58 	02:44:33 	03:16:46 	03:32:55 	03:42:32 	03:53:09 	04:22:29 	05:14:10 	05:58:12 	06:29:39 	06:43:18 	07:10:19
Details 	6th 	88 	Andrew Fallas 	British 	M 	Finish - Kinlochleven 	07:29:14 	00:49:09 	01:32:18 	01:54:15 	02:05:18 	02:36:15 	02:55:47 	03:30:58 	03:48:28 	03:59:05 	04:10:49 	04:43:10 	05:29:56 	06:19:48 	06:48:07 	07:01:26 	07:29:14
Details 	7th 	218 	Philipp ReiterFacebookTwitterInstagramStrava 	German 	M 	Finish - Kinlochleven 	07:33:02 	00:52:45 	01:33:02 	01:56:25 	02:07:58 	02:38:52 	03:00:09 	03:33:48 	03:51:30 	04:01:49 	04:13:17 	04:47:29 	05:32:44 	06:19:26 	06:50:06 	07:05:29 	07:33:02
Details 	8th 	227 	Baptiste Rollier 	Swiss 	M 	Finish - Kinlochleven 	07:35:48 	00:51:00 	01:34:19 	01:55:10 	02:05:11 	02:34:38 	02:54:26 	03:33:55 	03:53:25 	04:04:24 	04:16:27 	04:46:39 	05:42:10 	06:30:05 	06:57:57 	07:09:55 	07:35:48
Details 	9th 	65 	Kim CollisonTwitter 	British 	M 	Finish - Kinlochleven 	07:39:08 	00:48:57 	01:32:52 	01:54:05 	02:04:34 	02:34:40 	02:55:17 	03:31:36 	03:49:13 	03:59:50 	04:11:55 	04:44:46 	05:37:48 	06:27:30 	06:58:06 	07:10:56 	07:39:08
Details 	10th 	118 	Eirik HaugsnesFacebookTwitterInstagramStrava 	Norwegian 	M 	Finish - Kinlochleven 	07:50:03 	00:52:47 	01:37:17 	02:00:31 	02:12:42 	02:44:25 	03:04:40 	03:39:49 	03:58:02 	04:08:43 	04:19:56 	04:52:11 	05:43:00 	06:36:07 	07:08:08 	07:22:32 	07:50:03
Details 	11th 	309 	Nicola Giovanelli 	Italian 	M 	Finish - Kinlochleven 	07:53:18 	00:54:35 	01:37:36 	02:00:13 	02:11:43 	02:44:10 	03:04:42 	03:40:09 	03:58:08 	04:08:48 	04:20:05 	04:52:24 	05:43:02 	06:34:01 	07:08:35 	07:24:03 	07:53:18
Details 	12th 	308 	Sota Ogawa 	Japanese 	M 	Finish - Kinlochleven 	07:53:41 	00:49:55 	01:31:52 	01:54:07 	02:04:38 	02:33:49 	02:54:32 	03:32:02 	03:51:33 	04:02:41 	04:15:42 	04:49:33 	05:48:18 	06:41:22 	07:13:25 	07:27:53 	07:53:41
Details 	13th 	257 	Allan SpanglerFacebookTwitterInstagramStrava 	American 	M 	Finish - Kinlochleven 	07:55:12 	00:51:41 	01:35:51 	01:57:53 	02:10:04 	02:41:47 	03:02:00 	03:36:57 	03:55:37 	04:07:51 	04:19:31 	04:52:18 	05:44:25 	06:41:13 	07:13:27 	07:28:13 	07:55:12
Details 	14th 	26 	Alexander BeavenFacebook 	British 	M 	Finish - Kinlochleven 	07:56:49 	00:56:01 	01:43:12 	02:06:51 	02:17:47 	02:48:13 	03:09:39 	03:45:52 	04:04:25 	04:15:17 	04:27:36 	04:59:55 	05:51:52 	06:41:14 	07:13:23 	07:28:02 	07:56:49
Details 	15th= 	99 	Martin GaffuriFacebookTwitterInstagramStrava 	French 	M 	Finish - Kinlochleven 	08:08:42 	00:53:37 	01:38:27 	02:02:13 	02:13:22 	02:45:06 	03:06:25 	03:45:55 	04:05:40 	04:18:21 	04:31:14 	05:12:11 	06:07:10 	06:55:22 	07:25:29 	07:40:21 	08:08:42
Details 	15th= 	47 	Chris BurnFacebookStravaPower Of Ten 	British 	M 	Finish - Kinlochleven 	08:08:42 	00:55:20 	01:37:44 	02:01:49 	02:13:24 	02:45:09 	03:06:27 	03:45:59 	04:05:25 	04:16:38 	04:29:01 	05:05:14 	05:59:15 	06:51:19 	07:25:38 	07:40:08 	08:08:42
Details 	15th= 	268 	Colin ThorntonInstagram 	British 	M 	Finish - Kinlochleven 	08:08:42 	00:54:29 	01:39:28 	02:03:46 	02:15:03 	02:47:43 	03:10:20 	03:50:06 	04:09:13 	04:20:47 	04:34:00 	05:09:24 	06:07:09 	06:55:15 	07:25:35 	07:40:05 	08:08:42
Details 	18th 	7 	Alasdair Anthony 	British 	M 	Finish - Kinlochleven 	08:12:02 	00:54:33 	01:40:23 	02:05:59 	02:19:49 	02:52:12 	03:12:37 	03:52:30 	04:12:31 	04:25:11 	04:38:40 	05:15:07 	06:09:46 	06:59:00 	07:31:16 	07:46:17 	08:12:02
Details 	19th 	79 	Krzysztof DolegowskiFacebookStrava 	British 	M 	Finish - Kinlochleven 	08:12:34 	00:58:25 	01:48:24 	02:13:52 	02:26:55 	02:59:50 	03:22:14 	03:59:17 	04:18:09 	04:29:33 	04:41:43 	05:18:51 	06:09:48 	06:59:12 	07:31:20 	07:46:22 	08:12:34
Details 	20th 	125 	Charles Hutchinson 	British 	M 	Finish - Kinlochleven 	08:12:52 	00:56:43 	01:41:36 	02:04:25 	02:15:43 	02:48:12 	03:09:42 	03:47:12 	04:07:15 	04:18:58 	04:31:42 	05:07:23 	06:01:08 	06:53:10 	07:26:20 	07:42:25 	08:12:52
