  	Pos 	No. 	Name 	Team 	Category 	Time Taken 	CP1 Altnafeadh 	CP2 Stob Dearg Summit 	CP3 Buachaille Etive Mor Col 	CP4 Lairig Gartain RC 	CP5 Lairig Eilde Path Jn 	CP6 Lairig Eilde Cairn 	CP7 Stob Coire Sgreamhach 	CP8 Bidean Nam Bian 	CP9 Stob Coire nan Lochan 	CP10 Bidean Nam Bian 	CP11 Loch Achtrichian CP 	CP12 Sgorr nam Fiannaidh 	CP13 Am Bodach 	CP14 Sron a' Choire Odhair-bhig 	CP15 WHW 	Finish
Details 	1st 	124 	Kilian Jornet Burgada 	Spanish 	MSEN 	06:25:39 	00:49:31 	01:24:33 	01:45:28 	01:56:39 	02:22:23 	02:40:03 	03:08:53 	03:22:51 	03:31:28 	03:41:29 	04:09:46 	04:49:43 	05:23:32 	05:43:39 	06:00:48 	06:25:39
Details 	2nd 	910 	Jonathan Albon 	British 	MSEN 	06:31:45 	00:49:33 	01:27:10 	01:45:37 	01:56:38 	02:22:30 	02:40:05 	03:09:02 	03:23:08 	03:31:37 	03:41:35 	04:09:47 	04:51:37 	05:27:27 	05:48:24 	06:05:45 	06:31:45
Details 	3rd 	232 	Alexis Sévennec 	French 	MSEN 	06:40:34 	00:49:35 	01:25:16 	01:45:28 	01:56:40 	02:22:24 	02:40:03 	03:08:52 	03:22:57 	03:31:34 	03:41:33 	04:09:52 	04:52:51 	05:33:23 	05:57:25 	06:16:27 	06:40:34
Details 	4th 	98 	Bhim Bahadur GurungFacebook 	Nepalese 	MSEN 	06:56:30 	00:49:35 	01:27:15 	01:45:41 	01:56:41 	02:22:43 	02:40:06 	03:10:10 	03:25:07 	03:33:50 	03:44:02 	04:09:50 	04:57:04 	05:38:19 	06:08:19 	06:29:03 	06:56:30
Details 	5th 	132 	Max King 	American 	MSEN 	07:00:38 	00:49:32 	01:29:05 	01:48:13 	02:00:10 	02:28:11 	02:43:53 	03:15:12 	03:31:49 	03:40:54 	03:51:42 	04:22:50 	05:13:41 	05:59:31 	06:21:39 	06:39:01 	07:00:38
Details 	6th 	123 	André JonssonTwitterInstagram 	Swedish 	MSEN 	07:01:35 	00:48:38 	01:27:41 	01:47:26 	01:58:19 	02:27:19 	02:44:23 	03:17:02 	03:34:15 	03:44:11 	03:55:23 	04:27:38 	05:17:06 	06:00:18 	06:21:37 	06:38:23 	07:01:35
Details 	7th 	139 	Cody LindFacebookTwitterInstagram 	American 	MU23 	07:02:24 	00:49:46 	01:29:42 	01:49:34 	02:00:54 	02:30:01 	02:48:06 	03:21:19 	03:37:54 	03:47:38 	03:58:33 	04:27:54 	05:18:45 	06:00:17 	06:21:45 	06:39:17 	07:02:24
Details 	8th 	99 	Hector Haines 	British 	MSEN 	07:19:12 	00:49:40 	01:31:23 	01:51:43 	02:03:24 	02:33:24 	02:51:56 	03:25:31 	03:42:34 	03:52:53 	04:03:36 	04:33:27 	05:24:21 	06:11:55 	06:34:13 	06:52:35 	07:19:12
Details 	9th 	13 	Pere Aurell 	Spanish 	MSEN 	07:29:25 	00:49:42 	01:30:27 	01:50:08 	02:00:24 	02:28:28 	02:47:16 	03:20:03 	03:36:33 	03:46:33 	03:57:24 	04:27:24 	05:18:55 	06:09:00 	06:36:12 	07:00:14 	07:29:25
Details 	10th 	77 	Fredrik Eliasson 	Swedish 	MSEN 	07:29:34 	00:51:56 	01:33:13 	01:55:44 	02:07:10 	02:37:15 	02:56:54 	03:30:18 	03:47:44 	03:58:12 	04:08:59 	04:42:35 	05:29:28 	06:18:59 	06:43:11 	07:03:11 	07:29:34
Details 	11th 	55 	Barret Clement 	British 	MSEN 	07:39:34 	00:50:02 	01:32:23 	01:54:27 	02:06:36 	02:36:07 	02:54:32 	03:27:26 	03:44:59 	03:55:19 	04:06:32 	04:41:28 	05:32:38 	06:21:58 	06:47:04 	07:09:55 	07:39:34
Details 	12th 	217 	Hans Kristian SmedsrødInstagram 	Norwegian 	MSEN 	07:42:51 	00:49:38 	01:32:22 	01:54:27 	02:06:41 	02:36:38 	02:54:34 	03:29:56 	03:47:30 	03:58:06 	04:09:32 	04:45:36 	05:38:26 	06:29:15 	06:54:22 	07:16:22 	07:42:51
Details 	13th 	199 	Javier Rodríguez Bodas 	Spanish 	M45 	07:45:34 	00:52:28 	01:35:53 	01:57:26 	02:08:39 	02:40:12 	02:59:50 	03:36:33 	03:55:00 	04:06:09 	04:18:22 	04:52:34 	05:49:34 	06:36:20 	06:59:37 	07:18:54 	07:45:34
Details 	14th 	9 	Alasdair Anthony 	Scottish 	M40 	07:52:11 	00:53:14 	01:38:37 	02:02:28 	02:15:31 	02:47:40 	03:07:24 	03:44:47 	04:02:57 	04:14:10 	04:25:51 	04:59:34 	05:52:53 	06:39:42 	07:04:56 	07:26:02 	07:52:11
Details 	15th 	901 	Emelie ForsbergTwitterInstagram 	Swedish 	WSEN 	07:53:30 	00:54:01 	01:37:49 	02:02:12 	02:15:29 	02:48:05 	03:08:04 	03:45:25 	04:04:26 	04:15:04 	04:27:00 	04:59:50 	05:54:06 	06:39:45 	07:05:10 	07:26:05 	07:53:30
Details 	16th 	246 	Pete Vale 	British 	M45 	07:58:17 	00:52:27 	01:35:26 	01:57:51 	02:10:38 	02:43:07 	03:02:56 	03:39:56 	03:59:27 	04:11:00 	04:23:30 	04:59:06 	05:53:48 	06:42:26 	07:09:38 	07:30:21 	07:58:17
