name	country	cp1.time	cp2.time	cp3.time	cp4.time	cp1.rank	cp2.rank	cp3.rank	cp4.rank	name.team	name.runners	name.runner1	name.runner2	cp1.time.numeric	cp2.time.numeric	cp3.time.numeric	cp4.time.numeric
(Collé - Boffelli) Collé-Boffelli	ITA	1:47:20	3:17:51	3:51:16	4:39:59	1	1	1	1	Collé-Boffelli	Collé - Boffelli	Collé 	Boffelli	1.78888888888889	3.2975	3.85444444444444	4.66638888888889
(Comazzi - Minoggio ) Team Salomon	ITA	1:54:48	3:34:47	4:14:04	5:03:26	2	2	2	2	Team Salomon	Comazzi - Minoggio	Comazzi 	Minoggio	1.91333333333333	3.57972222222222	4.23444444444444	5.05722222222222
(Jornet Burgada - Forsberg) Jornet-Forsberg	ESP	1:56:33	3:36:48	4:13:25	5:03:56	1	1	1	NA	Jornet-Forsberg	Jornet Burgada - Forsberg	Jornet Burgada 	Forsberg	1.9425	3.61333333333333	4.22361111111111	5.06555555555556
(Owens - Symonds) Owens-Symonds	GBR	1:56:43	3:41:22	4:20:58	5:18:57	3	3	3	3	Owens-Symonds	Owens - Symonds	Owens 	Symonds	1.94527777777778	3.68944444444444	4.34944444444444	5.31583333333333
(Shkel - Baikashev) Shkel Team	RUS	2:00:12	3:44:36	4:30:58	5:26:45	6	5	6	4	Shkel Team	Shkel - Baikashev	Shkel 	Baikashev	2.00333333333333	3.74333333333333	4.51611111111111	5.44583333333333
(Gadin - Pivano) Alpstation Aosta / Gadin - Pivano	ITA	2:05:11	3:47:54	4:30:10	5:31:01	9	6	5	5	Alpstation Aosta / Gadin - Pivano	Gadin - Pivano	Gadin 	Pivano	2.08638888888889	3.79833333333333	4.50277777777778	5.51694444444444
(Giovanetto - Castagneri) Giovanetto - Castagneri	ITA	2:01:18	3:42:05	4:29:21	5:33:43	7	4	4	6	Giovanetto - Castagneri	Giovanetto - Castagneri	Giovanetto 	Castagneri	2.02166666666667	3.70138888888889	4.48916666666667	5.56194444444444
(Giovanelli - Francescatto) Team Blackroll-La Sportiva	ITA	1:57:23	3:55:09	4:37:39	5:41:00	4	7	7	7	Team Blackroll-La Sportiva	Giovanelli - Francescatto	Giovanelli 	Francescatto	1.95638888888889	3.91916666666667	4.6275	5.68333333333333
(Minary - Nantermoz) Les franc fous !	FRA	2:04:37	4:01:50	4:47:48	5:48:17	8	9	9	8	Les franc fous !	Minary - Nantermoz	Minary 	Nantermoz	2.07694444444444	4.03055555555556	4.79666666666667	5.80472222222222
(Camurri - Beltrametti) Barbablondie	ITA	2:06:22	4:00:51	4:48:47	5:48:51	10	8	10	9	Barbablondie	Camurri - Beltrametti	Camurri 	Beltrametti	2.10611111111111	4.01416666666667	4.81305555555556	5.81416666666667
